,"last_name, first_name",player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
895,"Medina, Luis",665622,OAK,SI,Sinker,-1.0,-3,277,14.2,73,0.313,0.406,0.38,14.1,9.6,14.0,0.304,0.397,0.355,36.8
896,"Palencia, Daniel",694037,CHC,FF,4-Seam Fastball,0.6,2,326,66.0,73,0.207,0.379,0.328,20.0,16.4,16.4,0.243,0.412,0.361,53.2
897,"Hernández, Jonathan",642546,TEX,SI,Sinker,-4.0,-10,257,46.5,72,0.35,0.6,0.434,13.6,15.3,18.6,0.32,0.62,0.443,51.0
898,"Lodolo, Nick",666157,CIN,FF,4-Seam Fastball,-0.1,0,300,46.4,72,0.297,0.578,0.396,19.0,25.0,18.6,0.266,0.474,0.346,51.1
899,"Brigham, Jeff",656257,NYM,ST,Sweeper,1.1,3,287,42.2,72,0.143,0.333,0.26,30.2,27.8,19.2,0.177,0.319,0.27,20.9
900,"Doval, Camilo",666808,SF,SI,Sinker,-0.4,-1,342,30.1,72,0.303,0.364,0.349,13.4,4.2,6.5,0.329,0.432,0.353,53.1
901,"Moll, Sam",594580,CIN,FF,4-Seam Fastball,1.0,3,255,24.9,72,0.19,0.286,0.278,24.4,33.3,20.7,0.203,0.261,0.258,35.0
902,"Shreve, Chasen",592741,CIN,FF,4-Seam Fastball,-1.6,-4,270,35.9,72,0.379,0.672,0.464,22.4,20.8,22.7,0.27,0.539,0.389,46.8
903,"Freeland, Kyle",607536,COL,CH,Changeup,-1.9,-6,293,12.1,72,0.426,0.662,0.481,14.0,2.8,5.1,0.417,0.718,0.492,47.0
904,"Pressly, Ryan",519151,HOU,CU,Curveball,-0.4,-1,272,26.6,72,0.219,0.391,0.333,43.9,36.1,32.1,0.204,0.42,0.309,55.3
905,"Ort, Kaleb",672391,BOS,FF,4-Seam Fastball,-1.5,-4,276,71.5,72,0.25,0.483,0.389,17.0,19.4,21.5,0.219,0.461,0.328,44.0
906,"Chapman, Aroldis",547973,TEX,SL,Slider,1.4,4,291,28.9,72,0.193,0.263,0.333,46.6,34.7,39.1,0.183,0.266,0.3,27.3
907,"Hoffman, Jeff",656546,PHI,FF,4-Seam Fastball,0.3,1,294,33.8,72,0.276,0.466,0.408,21.3,18.1,16.7,0.287,0.47,0.385,42.6
908,"Brazoban, Huascar",623211,MIA,CH,Changeup,1.7,5,286,28.3,72,0.159,0.19,0.225,40.6,34.7,21.6,0.15,0.185,0.215,21.1
909,"Cueto, Johnny",456501,MIA,FF,4-Seam Fastball,0.3,1,296,34.4,72,0.242,0.53,0.345,24.5,23.6,14.0,0.232,0.504,0.336,48.0
910,"Domínguez, Seranthony",622554,PHI,SI,Sinker,0.5,1,251,29.2,72,0.317,0.429,0.388,12.0,5.6,9.1,0.311,0.501,0.389,36.7
911,"Englert, Mason",669438,DET,FF,4-Seam Fastball,-2.4,-7,290,30.3,72,0.284,0.672,0.43,10.2,9.7,9.2,0.327,0.733,0.458,51.7
912,"Chapman, Aroldis",547973,TEX,SI,Sinker,3.4,5,163,16.2,72,0.097,0.153,0.108,43.3,73.6,37.6,0.113,0.19,0.128,63.2
913,"Voth, Austin",608723,BAL,FF,4-Seam Fastball,0.4,1,291,43.9,71,0.279,0.41,0.35,24.3,28.2,23.0,0.248,0.395,0.328,33.3
914,"King, Michael",650633,NYY,CH,Changeup,3.3,8,244,14.5,71,0.104,0.134,0.151,41.0,31.0,22.7,0.197,0.232,0.216,17.8
915,"Ruiz, José",614179,AZ,CU,Curveball,-0.9,-3,285,34.8,71,0.328,0.552,0.394,35.4,22.5,16.5,0.268,0.417,0.313,41.2
916,"Cecconi, Slade",677944,AZ,FF,4-Seam Fastball,0.3,1,245,58.6,71,0.265,0.5,0.329,13.0,11.3,13.3,0.272,0.557,0.352,54.1
917,"Soriano, José",667755,LAA,CU,Curveball,2.1,6,276,39.8,71,0.177,0.226,0.244,47.1,45.1,35.6,0.165,0.225,0.234,36.7
918,"De Los Santos, Enyel",660853,CLE,SL,Slider,2.5,8,319,30.4,71,0.125,0.25,0.223,47.6,33.8,24.0,0.147,0.262,0.225,25.0
919,"Kluber, Corey",446372,BOS,FC,Cutter,-2.5,-7,271,27.4,71,0.333,0.75,0.49,18.4,7.0,7.0,0.342,0.757,0.494,47.3
920,"Martinez, Nick",607259,SD,CU,Curveball,0.4,1,335,19.1,71,0.164,0.295,0.266,34.7,25.4,19.6,0.221,0.348,0.306,25.6
921,"Martínez, Adrián",661309,OAK,CH,Changeup,-0.9,-2,221,23.4,71,0.323,0.435,0.358,29.9,22.5,21.9,0.306,0.448,0.364,45.8
922,"Jackson, Jay",543351,TOR,SL,Slider,3.2,8,265,59.8,71,0.116,0.261,0.173,35.4,23.9,20.7,0.227,0.421,0.283,26.9
923,"Wilson, Steven",621051,SD,FF,4-Seam Fastball,0.4,1,341,36.4,71,0.179,0.214,0.285,25.2,23.9,15.6,0.186,0.285,0.306,35.9
924,"Pruitt, Austin",643493,OAK,SL,Slider,0.4,1,285,37.6,71,0.238,0.365,0.289,24.5,12.7,10.3,0.246,0.382,0.299,23.2
925,"Sánchez, Cristopher",650911,PHI,SL,Slider,-0.7,-2,308,21.1,70,0.25,0.456,0.324,29.7,24.3,23.6,0.25,0.444,0.304,33.3
926,"Swanson, Erik",657024,TOR,FF,4-Seam Fastball,0.4,2,367,34.7,70,0.267,0.483,0.368,25.8,21.4,13.8,0.219,0.371,0.309,37.0
927,"Paxton, James",572020,BOS,CU,Curveball,-0.3,-1,329,19.5,70,0.231,0.338,0.305,37.6,32.9,21.3,0.183,0.272,0.231,28.6
928,"Thielbar, Caleb",573204,MIN,FF,4-Seam Fastball,1.4,3,251,52.2,70,0.197,0.424,0.279,21.3,28.6,28.6,0.209,0.41,0.279,36.2
929,"Pepiot, Ryan",686752,LAD,FF,4-Seam Fastball,1.8,6,331,50.6,70,0.156,0.344,0.264,22.4,22.9,18.6,0.207,0.374,0.283,35.4
930,"Battenfield, Peyton",685410,CLE,FF,4-Seam Fastball,-2.5,-6,246,44.6,70,0.323,0.645,0.447,12.9,7.1,8.3,0.353,0.69,0.468,59.6
931,"Chirinos, Yonny",630023,ATL,SL,Slider,-1.5,-5,346,25.8,70,0.361,0.705,0.461,15.3,7.1,6.4,0.354,0.692,0.458,48.3
932,"La Sorsa, Joe",686747,WSH,SI,Sinker,-1.8,-5,272,50.4,70,0.383,0.567,0.459,12.4,11.4,12.7,0.378,0.541,0.44,44.2
933,"Lange, Alex",656638,DET,SI,Sinker,-1.0,-3,300,26.2,70,0.226,0.434,0.384,12.1,10.0,19.4,0.308,0.48,0.421,53.2
934,"Mantiply, Joe",573009,AZ,SI,Sinker,-1.4,-3,236,41.3,70,0.308,0.615,0.41,12.4,7.1,16.1,0.314,0.559,0.392,40.0
935,"Borucki, Ryan",621366,PIT,SL,Slider,1.1,3,289,54.7,69,0.194,0.306,0.297,30.8,18.8,24.5,0.245,0.335,0.29,32.0
936,"Musgrove, Joe",605397,SD,FC,Cutter,2.1,7,316,20.4,69,0.302,0.429,0.341,13.0,5.8,16.0,0.298,0.466,0.349,31.7
937,"Rom, Drew",680723,STL,FF,4-Seam Fastball,-1.7,-5,297,44.3,69,0.333,0.633,0.472,21.2,29.0,20.2,0.31,0.613,0.427,57.5
938,"Duran, Jhoan",661395,MIN,CU,Curveball,1.4,4,282,27.7,69,0.159,0.286,0.223,45.9,53.6,29.8,0.125,0.207,0.183,25.9
939,"Ramirez, Nick",598286,NYY,SI,Sinker,1.4,4,268,40.7,69,0.25,0.359,0.29,15.3,14.5,15.6,0.274,0.408,0.317,41.8
940,"Irvin, Cole",608344,BAL,FC,Cutter,2.4,5,203,15.9,69,0.18,0.279,0.262,26.0,17.4,22.6,0.242,0.357,0.298,27.5
941,"Armstrong, Shawn",542888,TB,SI,Sinker,1.0,3,272,34.1,69,0.213,0.262,0.282,20.4,14.5,17.5,0.276,0.384,0.321,34.6
942,"Clevinger, Mike",605182,CWS,CH,Changeup,1.5,4,270,12.9,69,0.175,0.206,0.214,29.1,18.8,15.9,0.184,0.224,0.223,12.0
943,"Bradley, Taj",671737,TB,CU,Curveball,0.7,2,304,16.7,69,0.169,0.338,0.254,22.4,43.5,21.4,0.199,0.356,0.259,45.7
944,"Holderman, Colin",670059,PIT,ST,Sweeper,1.0,3,275,29.6,69,0.185,0.277,0.228,37.5,49.3,23.9,0.133,0.207,0.178,32.3
945,"Bernardino, Brennan",657514,BOS,CU,Curveball,-0.8,-3,369,42.7,69,0.238,0.349,0.292,35.1,33.3,20.0,0.188,0.28,0.244,17.5
946,"Stephan, Trevor",663986,CLE,SL,Slider,-1.6,-4,272,24.1,69,0.317,0.467,0.375,27.0,14.5,18.9,0.305,0.47,0.383,39.2
947,"Ruiz, José",614179,AZ,FF,4-Seam Fastball,-2.0,-5,257,31.3,69,0.236,0.491,0.399,33.9,23.2,20.3,0.22,0.459,0.367,43.6
948,"Teheran, Julio",527054,MIL,FC,Cutter,0.4,1,310,28.7,69,0.219,0.359,0.293,22.0,20.3,20.3,0.277,0.468,0.343,36.0
949,"Lynch IV, Daniel",663738,KC,CH,Changeup,4.3,10,225,27.8,68,0.125,0.156,0.163,34.7,19.1,20.3,0.211,0.311,0.244,19.2
950,"Nelson, Ryne",669194,AZ,CH,Changeup,-0.8,-3,313,13.3,68,0.203,0.407,0.296,31.2,19.1,16.3,0.215,0.349,0.278,34.7
951,"Phillips, Evan",623465,LAD,FC,Cutter,0.8,2,220,24.0,68,0.27,0.429,0.327,13.2,5.9,7.7,0.323,0.508,0.365,36.1
952,"Erceg, Lucas",668674,OAK,FF,4-Seam Fastball,1.0,3,299,28.4,68,0.19,0.328,0.29,19.3,32.4,17.5,0.221,0.389,0.322,41.7
953,"Graveman, Kendall",608665,HOU,SL,Slider,-0.5,-2,298,26.8,68,0.241,0.431,0.35,37.3,38.2,25.2,0.179,0.368,0.299,33.3
954,"Rosenberg, Kenny",670046,LAA,CH,Changeup,-0.6,-1,204,37.6,68,0.258,0.435,0.345,30.0,23.5,22.9,0.219,0.392,0.297,30.4
955,"Houser, Adrian",605288,MIL,SL,Slider,-0.7,-2,308,16.6,68,0.258,0.484,0.362,28.4,19.1,16.3,0.246,0.386,0.307,38.8
956,"La Sorsa, Joe",686747,WSH,SL,Slider,2.5,6,244,45.2,68,0.125,0.172,0.189,31.6,29.4,21.7,0.173,0.22,0.201,15.9
957,"Quintana, Jose",500779,NYM,FF,4-Seam Fastball,-2.3,-7,298,24.2,68,0.391,0.594,0.437,21.7,17.6,12.5,0.356,0.58,0.412,30.2
958,"Marte, Yunior",628708,PHI,SL,Slider,0.4,1,309,44.1,68,0.234,0.5,0.343,36.4,30.9,24.4,0.233,0.456,0.314,41.9
